"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,2,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,3,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,4,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,5,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,6,NA,NA,NA,NA
"吉林省",220000,0.641250374,1,NA,NA,NA,NA
"吉林省",220000,0.641250374,2,NA,NA,NA,NA
"吉林省",220000,0.641250374,3,NA,NA,NA,NA
"吉林省",220000,0.641250374,4,NA,NA,NA,NA
"吉林省",220000,0.641250374,5,NA,NA,NA,NA
"吉林省",220000,0.641250374,6,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,1,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,2,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,3,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,4,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,5,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,6,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,1,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,2,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,3,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,4,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,5,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.725999111,6,NA,NA,NA,NA
"辽宁省",210000,0.756878475,1,NA,NA,NA,NA
"辽宁省",210000,0.756878475,2,NA,NA,NA,NA
"辽宁省",210000,0.756878475,3,NA,NA,NA,NA
"辽宁省",210000,0.756878475,4,NA,NA,NA,NA
"辽宁省",210000,0.756878475,5,NA,NA,NA,NA
"辽宁省",210000,0.756878475,6,NA,NA,NA,NA
"北京市",110000,0.593655811,1,NA,NA,NA,NA
"北京市",110000,0.593655811,2,NA,NA,NA,NA
"北京市",110000,0.593655811,3,NA,NA,NA,NA
